0.500417,0.500415
0.500833,0.500829
0.501250,0.501240
0.501667,0.501651
0.502083,0.502059
0.502500,0.502467
0.502917,0.502872
0.503334,0.503276
0.503750,0.503678
0.504167,0.504079
0.504584,0.504478
0.505000,0.504876
0.505417,0.505272
0.505834,0.505666
0.506250,0.506059
0.506667,0.506450
0.507084,0.506840
0.507501,0.507227
0.507917,0.507614
0.508334,0.507999
0.508751,0.508382
0.509167,0.508763
0.509584,0.509143
0.510001,0.509522
0.510417,0.509899
0.510834,0.510274
0.511251,0.510648
0.511667,0.511020
0.512084,0.511390
0.512501,0.511759
0.512918,0.512126
0.513334,0.512492
0.513751,0.512856
0.514168,0.513218
0.514584,0.513579
0.515001,0.513939
0.515418,0.514296
0.515834,0.514652
0.516251,0.515007
0.516668,0.515360
0.517085,0.515711
0.517501,0.516061
0.517918,0.516409
0.518335,0.516756
0.518751,0.517100
0.519168,0.517444
0.519585,0.517786
0.520001,0.518126
0.520418,0.518464
0.520835,0.518801
0.521251,0.519137
0.521668,0.519471
0.522085,0.519803
0.522502,0.520133
0.522918,0.520462
0.523335,0.520790
0.523752,0.521116
0.524168,0.521440
0.524585,0.521762
0.525002,0.522083
0.525418,0.522403
0.525835,0.522721
0.526252,0.523037
0.526669,0.523352
0.527085,0.523665
0.527502,0.523976
0.527919,0.524286
0.528335,0.524594
0.528752,0.524901
0.529169,0.525206
0.529585,0.525510
0.530002,0.525812
0.530419,0.526112
0.530836,0.526411
0.531252,0.526708
0.531669,0.527003
0.532086,0.527297
0.532502,0.527590
0.532919,0.527880
0.533336,0.528170
0.533752,0.528457
0.534169,0.528743
0.534586,0.529028
0.535002,0.529310
0.535419,0.529592
0.535836,0.529871
0.536253,0.530149
0.536669,0.530425
0.537086,0.530700
0.537503,0.530974
0.537919,0.531245
0.538336,0.531515
0.538753,0.531784
0.539169,0.532051
0.539586,0.532316
0.540003,0.532579
0.540420,0.532842
0.540836,0.533102
0.541253,0.533361
0.541670,0.533618
0.542086,0.533874
0.542503,0.534128
